school_id_A,school_id_B,extracted_school_name_A,school_name_A,school_name_B,address_from_B,Match_Type
27113,41172,Durgadevi Pravi,दुर्गादेवी प्रावि भीमापोखरा बागलुङ,Durga Devi Pravi,"Doheri, Kathekhola Rural Municipality, Baglung, Gandaki Province",Matched with school name of B
24699,6780,Durga Devi Pravi,दुर्गा देवी प्रावि गुराँस दैलेख,Durga Devi Pravi,"khudkhudi, Thantikandh Rural Municipality, Dailekh, Karnali Province",Matched with school name of B
17674,31759,Durga Devi Pravi,दुर्गा देवी प्रावि मकवानपुर,Durga Devi Pravi,"Suntalabari, Thaha Municipality, Makwanpur, Bagamati Province",Matched with school name of B
3635,41173,Durgadevi Pravi,दुर्गादेवी प्रावि तार्कु लमजुङ,Durga Devi Pravi,"Rainas Municipality, Rainas Municipality, Lamjung, Gandaki Province",Matched with school name of B
7780,6782,Durgadevi Pravi,दुर्गादेवी प्रावि भदाले सल्यान,Durga Devi Pravi Bhadale,"Bhadale, Bangad Kupinde Municipality, Salyan, Karnali Province",Matched with old school name1 of B
26853,51356,Durga Janajyoti Pravi,दुर्गा जनज्योति प्रावि बबई बर्दिया,Durga Janajyoti Avi,"Perahani, Thakurbaba Municipality, Bardiya, Lumbini Province",Matched with old school name1 of B
6924,2851,Durga Khobhari Janata Mavi,दुर्गा खोभारी जनता मावि बबरगंज सर्लाही,Durga Khobhari Janata Mavi,"Babargunj, Chandranagar Rural Municipality, Sarlahi, Madhesh Province",Matched with school name of B
29246,71101,Durga Latinatha Avi,दुर्गा लटिनाथ आवि मैखोली दार्चुला,Durga Latinath Avi Maikholi,"Maikholi, Mahakali Municipality, Darchula, Sudurpashchim Province",Matched with old school name2 of B
27769,41174,Durga Mai Pravi,दुर्गा माई प्रावि लम्जुङ,Durga Mai Pravi,"Rintang, Marsyangdi Rural Municipality, Lamjung, Gandaki Province",Matched with school name of B
16701,11505,Durga Mavi,दुर्गा मावि मोरङ,Durga Mavi,"Morang, Urlabari Municipality, Morang, Koshi Province",Matched with school name of B
7446,11504,Durga Mavi,दुर्गा मावि रतुवामाई न पा मोरङ,Durga Mavi,"Durga Chowk, Pathari Shanishchare Municipality, Morang, Koshi Province",Matched with school name of B
3149,11497,Durga Mavi,दुर्गा मावि झापा,Durga Mavi,"Birtamod, Birtamod Municipality, Jhapa, Koshi Province",Matched with school name of B
14147,11496,Durga Mavi,दुर्गा मावि इलाम,Durga Mavi,"mangsebung, Mangsebung Rural Municipality, Ilam, Koshi Province",Matched with school name of B
5583,11495,Durga Mavi,दुर्गा मावि उर्लावारी मोरङ,Durga Mavi,"Laxminiya Hat, Jahada Rural Municipality, Morang, Koshi Province",Matched with school name of B
15579,2850,Durga Mavi,दुर्गा मावि मनरा महोत्तरी,Durga Mavi,"Manarashiswa, Manara Sisawa Municipality, Mahottari, Madhesh Province",Matched with school name of B
4798,31760,Durga Mavi,दुर्गा मावि दोलखा,Durga Mavi,"Bhaise Chaur, Sailung Rural Municipality, Dolakha, Bagamati Province",Matched with school name of B
2650,71122,Durga Mavi,दुर्गा मावि बैतडी,Durga Mavi,"Khaligad, Melauli Municipality, Baitadi, Sudurpashchim Province",Matched with school name of B
19299,71118,Durga Mavi,दुर्गा मावि डोटी,Durga Mavi,"Badikedar Rural Municipalty-1 Dewali,Doti, Badikedar Rural Municipality, Doti, Sudurpashchim Province",Matched with school name of B
5789,11503,Durga Mavi,दुर्गा मावि मझारे मोरङ,Durga Mavi,"Damravitta, Ratuwamai Municipality, Morang, Koshi Province",Matched with school name of B
6992,71117,Durga Mavi,दुर्गा मावि सिमाली वझाङ,Durga Mavi,"durgathali mun, Durgathali Rural Municipality, Bajhang, Sudurpashchim Province",Matched with school name of B
1885,71116,Durga Mavi,दुर्गा मावि पुर्नवास जनकवस्ती कञ्चनपुर,Durga Mavi,"punarbas, Punarbas Municipality, Kanchanpur, Sudurpashchim Province",Matched with school name of B
23939,41182,Durga Mavi,दुर्गा मावि गोरखा,Durga Mavi,"Barpak Sulikot, Barpak Sulikot Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
24403,51366,Durga Mavi,दुर्गा मावि खवाङ प्यूठान,Durga Mavi,"Naubahini rural municipality -4,Khabang Pyuthan, Naubahini Rural Municipality, Pyuthan, Lumbini Province",Matched with school name of B
12021,51364,Durga Mavi,दुर्गा मावि तिलोत्तमा स्पन्देही,Durga Mavi,"Lausa, Kanchan Rural Municipality, Rupandehi, Lumbini Province",Matched with school name of B
16203,6788,Durga Mavi,दुर्गा मावि लाम्रा जुम्ला,Durga Mavi,"Tatopani 5, Tatopani Rural Municipality, Jumla, Karnali Province",Matched with school name of B
4588,71121,Durga Mavi,दुर्गा मावि आलिताल डडेल्धुरा,Durga Mavi,"Dola, Aalital Rural Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
5763,11502,Durga Mavi,दुर्गा मावि फुलवारी ताप्लेजुङ,Durga Mavi,"Phulbari, Aathrai Tribeni Rural Municipality, Taplejung, Koshi Province",Matched with school name of B
16483,2859,Durga Mavi,दुर्गा मावि बरेवा बारा,Durga Mavi Barewa Bairiya,"Barewa, Kalaiya Sub Metropolitan City, Bara, Madhesh Province",Matched with old school name1 of B
13105,71103,Durga Mavi,दुर्गा मावि सैनपसेला बझाङ,Durga Mavi Bungal Simali,"Simali, Bungal Municipality, Bajhang, Sudurpashchim Province",Matched with old school name2 of B
24234,71104,Durga Mavi,दुर्गा मावि कैलाली,Durga Mavi Kushumghat,"Kushumghat, Bhajani Municipality, Kailali, Sudurpashchim Province",Matched with old school name1 of B
14108,11507,Durga Mavi,दुर्गा मावि सराङ्डाँडा पाँचथर,Durga Mavi Sarangdanda,"miklajung, Miklajung Rural Municipality, Panchthar, Koshi Province",Matched with old school name1 of B
2304,11498,Durga Nimavi,दुर्गा निमावि तनमुना सुनसरी,Durga Nimavi,"Thakurtole, Duhabi Municipality, Sunsari, Koshi Province",Matched with school name of B
19169,11500,Durga Pravi,दुर्गा प्रावि हसन्दह मोरङ,Durga Pravi,"Jyamire, Letang Municipality, Morang, Koshi Province",Matched with school name of B
17257,71106,Durga Pravi,दुर्गा प्रावि चाल्सा अछाम,Durga Pravi,"Guta, Sanfebagar Municipality, Achham, Sudurpashchim Province",Matched with school name of B
15220,51360,Durga Pravi,दुर्गा प्रावि रुपन्देही,Durga Pravi,"bhabhai, Lumbini Sanskritik Municipality, Rupandehi, Lumbini Province",Matched with school name of B
906,71107,Durga Pravi,दुर्गा प्रावि डोटी,Durga Pravi,"Bel, Aadarsha Rural Municipality, Doti, Sudurpashchim Province",Matched with school name of B
1159,71112,Durga Pravi,दुर्गा प्रावि डडेल्धुरा,Durga Pravi,"Suwakot, Nawadurga Rural Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
16730,41176,Durga Pravi,दूर्गा प्रावि सौरपानी गोर्खा,Durga Pravi,"adheri, Shahid Lakhan Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
24836,2853,Durga Pravi,दुर्गा प्रावि हरपुर पर्सा,Durga Pravi,"Harpur, Jaganathpur Rural Municipality, Parsa, Madhesh Province",Matched with school name of B
11202,41177,Durga Pravi,दुर्गा प्रावि शुक्लागण्डकी न पा तनहुँँ,Durga Pravi,"Dhaireni, Myagde Rural Municipality, Tanahun, Gandaki Province",Matched with school name of B
22249,11501,Durga Pravi,दुर्गा प्रावि मोरङ,Durga Pravi,"gramthan, Gramthan Rural Municipality, Morang, Koshi Province",Matched with school name of B
6122,71113,Durga Pravi,दुर्गा प्रावि कैलाली,Durga Pravi,"chamaripur, Gauriganga Municipality, Kailali, Sudurpashchim Province",Matched with school name of B
15966,41181,Durgama Pravi,दुर्गम प्रावि भुजी दुर्गम वाग्लुङ,Durga Pravi,"Chapakharka, Ramchour, Jaimini Municipality, Baglung, Gandaki Province",Matched with school name of B
14928,6783,Durga Pravi,दुर्गा प्रावि जाजरकोट,Durga Pravi,"Nuwagaun, Bheri Municipality, Jajarkot, Karnali Province",Matched with school name of B
9584,11499,Durga Pravi,दुर्गा प्रावि मोर,Durga Pravi,"Nocha, Dhanapalthan Rural Municipality, Morang, Koshi Province",Matched with school name of B
7393,71111,Durga Pravi,दुर्गा प्रावि कञ्चनपुर,Durga Pravi Bhurakot,"Bhurakot, Belauri Municipality, Kanchanpur, Sudurpashchim Province",Matched with old school name1 of B
28309,6787,Durga Pravi,दुर्गा प्रावि सल्यान,Durga Primary Timile,"Timile, Sharada Municipality, Salyan, Karnali Province",Matched with old school name1 of B
4082,31761,Durgashakti Pravi,दुर्गाशक्ति प्रावि सिन्धुपाल्चोक,Durga Shakti Avi,"Khiping, Barhabise Municipality, Sindhupalchok, Bagamati Province",Matched with old school name1 of B
118,31762,Durga Sheshakanta Adhikari Mavi,दुर्गा शेषकान्त अधिकारी मावि विजयनगर चितवन,Durga Sheshkanta Adhikari Mavi Bharatpur,"Vijaynagar, Bharatpur Metropolitan City, Chitwan, Bagamati Province",Matched with school name of B
11901,11508,Durgatili~Na Pravi,दुर्गातिलिङ प्रावि राजारानी धनकुटा,Durga Tilingh Pravi,"Chaubise, Chaubise Rural Municipality, Dhankuta, Koshi Province",Matched with school name of B
26815,71125,Durga Bhavani Avi,दुर्गा भवानी आवि काँडा बाजुरा,Durgabhawani Avi,"Seragaon, Khaptad Chhededaha Rural Municipality, Bajura, Sudurpashchim Province",Matched with school name of B
16326,71127,Durgali Pravi,दुर्गाली प्रावि बाजुरा,Durgali Pravi,"Durgali, Gaumul Rural Municipality, Bajura, Sudurpashchim Province",Matched with school name of B
9936,11509,Durgama Pravi,दुर्गम प्रावि इलाम,Durgam Pravi,"Tindovane, Mangsebung Rural Municipality, Ilam, Koshi Province",Matched with school name of B
29182,31763,Durgamatara Avi,दुर्गमतारा आवि नुवाकोट,Durgam Tara Avi,"Kispang, Kispang Rural Municipality, Nuwakot, Bagamati Province",Matched with school name of B
1309,71129,Durga Mahali~Nga Mavi,दुर्गा महालिङ्ग मावि चौका छान्ना बझाङ,Durgamahaling Mavi,"Chauka, Khaptadchhanna Rural Municipality, Bajhang, Sudurpashchim Province",Matched with school name of B
1503,11511,Durgamakshetra Pravi,दुर्गमक्षेत्र प्रावि ताप्लेजुङ,Durgamkshetra Avi,"Segumba, Phungling Municipality, Taplejung, Koshi Province",Matched with old school name1 of B
5737,31765,Durganadi Avi,दुर्गानदी आवि रामेछाप,Durganadi Avi,"Chulthepani, Khandadevi Rural Municipality, Ramechhap, Bagamati Province",Matched with school name of B
4605,71131,Durga Sthana Avi,दुर्गा स्थान आवि गुनपाल डडेल्धुरा,Durgasthan Avi,"Gunpal, Ajayameru Rural Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
17033,71132,Durga Sthana Pravi,दुर्गा स्थान प्रावि खेती अपी दार्चुला,Durgasthan Avi Kheti,"Kheti, Duhun Rural Municipality, Darchula, Sudurpashchim Province",Matched with old school name1 of B
5626,71133,Durgasthana Mavi,दुर्गास्थान मावि दार्चुला,Durgasthan Mavi Shyanku,"Shyanku, Byans Rural Municipality, Darchula, Sudurpashchim Province",Matched with old school name1 of B
5559,71135,Durgeshvari Avi,दुर्गेश्वरी आवि दार्चुला,Durgeshwori Avi,"Thulthala, Marma Rural Municipality, Darchula, Sudurpashchim Province",Matched with school name of B
27540,11512,Durgeshvari Avi,दुर्गेश्वरी आवि पोख्राङ पाँचखपन संखुवासभा,Durgeshwori Avi,"Pokhrang, Panchakhapan Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
18341,71140,Durgeshvari Pravi,दुर्गेश्वरी प्रावि दार्चुला,Durgeshwori Pravi,"Barku, Marma Rural Municipality, Darchula, Sudurpashchim Province",Matched with school name of B
9,11513,Durgeshvari Pravi,दुर्गेश्वरी प्रावि भोजपुर,Durgeshwori Pravi,"Mohoriya, Bhojpur Municipality, Bhojpur, Koshi Province",Matched with school name of B
19502,31767,Ddharikadasa Mavi,द्धारिकादास मावि पिठुवा चितवन,Dwarikadas Mavi,"Ra.Na.Pa Pithuwa, Ratnangar Municipality, Chitwan, Bagamati Province",Matched with school name of B
2915,51372,Dyaurali Mavi,द्यौराली मावि पाणिनी निगाली पटौटी अर्घाखाँची,Dyaurali Mavi,"Nigali, Panini Rural Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
22792,51380,Ekapriya Rathaura Mavi,एकप्रिय राठौर मावि गेरुवा गा पा पाताभार बर्दिया,Ek Priya Rathor Mavi,"Patabhar, Geruwa Rural Municipality, Bardiya, Lumbini Province",Matched with school name of B
18973,11533,Ekadashi Pravi,एकादशी प्रावि भोजपुर,Ekadashi Avi,"Matikore, Ramprasad Rai Rural Municipality, Bhojpur, Koshi Province",Matched with old school name1 of B
20792,11534,Ekata Avi,एकता आवि इलाम,Ekata Avi,"Ilam Municipality, Ilam Municipality, Ilam, Koshi Province",Matched with school name of B
4461,11539,Ekata Avi,एकता आवि मोरङ,Ekta Avi,"Puspanjali Tol, Belbari Municipality, Morang, Koshi Province",Matched with school name of B
14214,11541,Ekuva Avi,एकुवा आवि मकालु गा पा संखुवासभा,Ekuwa Avi,"Ekuwa, Makalu Rural Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
11701,41208,Pharse Dhairi~Na Mavi,फर्से धाइरिङ मावि पर्बत,Farse Dhairing Mavi,"Salyan, Jaljala Rural Municipality, Parbat, Gandaki Province",Matched with school name of B
22380,11581,Phikkala Mavi,फिक्कल मावि इलाम,Fikkal Mavi,"Fikkal, Suryodaya Municipality, Ilam, Koshi Province",Matched with old school name1 of B
18463,51418,Phultekra Mavi,फुल्टेक्रा मावि नेपालगञ्ज बाँके,Fultekra Mavi,"Fultekra, Nepalgunj Sub Metropolitan City, Banke, Lumbini Province",Matched with school name of B
20840,31863,Phurke Da.Nda Avi,फूर्के डाँडा आवि बागमती गा पा ललितपुर,Furke Danda Avi,"Furke Danda, Bagmati Rural Municipality, Lalitpur, Bagamati Province",Matched with school name of B
1558,11591,Gachiya Avi,गछिया आवि सुन्दरहरैचा मोरङ,Gachhiya Avi,"Schooldanda, Sundarharaincha Municipality, Morang, Koshi Province",Matched with school name of B
3982,31875,Gadgade Avi,गड्गडे आवि नगरकोट भक्तपुर,Gadgade Avi,"Changunarayan Municipality, Changunarayan Municipality, Bhaktapur, Bagamati Province",Matched with school name of B
28521,11592,Gadhadeva Avi,गढदेव आवि गढी सुनसरी,Gadh Dev Avi,"bhamari, Gadhi Rural Municipality, Sunsari, Koshi Province",Matched with school name of B
3330,2924,Gadhi Bhagavati Pravi,गढी भगवती प्रावि पर्सा,Gadhi Bhagawati Aadharbhut Vi Sakhuwaniya,"Sakhuwaniya, Sakhuwa Prasauni Rural Municipality, Parsa, Madhesh Province",Matched with old school name1 of B
881,11594,Gadigau.N Mavi,गडिगाउँ मावि बुद्दशान्ति गा पा झापा,Gadhi Gaun Mavi,"Gadigaun, Buddhashanti Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
14132,2927,Gadhimari Mahendra Mavi,गढिमार्इ महेन्द्र मावि बरियारपुर बारा,Gadhimai Mahendra Mavi,"Bariyarpur, Mahagadhimai Municipality, Bara, Madhesh Province",Matched with school name of B
28804,41229,Gadi Bha~Njya~Na Avi,गडी भञ्ज्याङ आवि स्याङ्जा,Gadi Bhanjyang Avi,"Sworek, Bhirkot Municipality, Syangja, Gandaki Province",Matched with school name of B
6541,71176,Gadibhavana Mavi,गडीभवन मावि थाप्ला दार्चुला,Gadi Bhawan Mavi,"Thapla, Mahakali Municipality, Darchula, Sudurpashchim Province",Matched with school name of B
19510,2929,Gadhimai Avi,गढीमाई आवि गढीमाई रौतहट,Gadi Mai Avi,"sundarpur, Gadhimai Municipality, Rautahat, Madhesh Province",Matched with school name of B
9507,6804,Gadula Snani Avi,गडुल स्नानी आवि कालिकोट,Gadulsnani Avi,"Naina, Sanni Tribeni Rural Municipality, Kalikot, Karnali Province",Matched with school name of B
20882,31878,Gagalaphedi Harsha Avi,गागलफेदी हर्ष आवि काठमाडौं,Gagal Phedi Harsa Avi,"Bhimsentar, Kageshwori Manahara Municipality, Kathmandu, Bagamati Province",Matched with school name of B
1532,11595,Gagana Pravi,गगन प्रावि झापा,Gagan Basac School,"Sitagadhi, Kachankawal Rural Municipality, Jhapa, Koshi Province",Matched with old school name1 of B
14206,11596,Gaganachumvi Pravi,गगनचुम्वी प्रावि संखुवासभा,Gaganchumbi Pravi,"Arunthan, Chainpur Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
4844,71179,Gaguda Mavi,गगुडा मावि चौरपाटी अछाम,Gaguda Mavi,"Gaguda, Chaurpati Rural Municipality, Achham, Sudurpashchim Province",Matched with school name of B
4733,41230,Gahate Ambota Avi,गहते अम्बोट आवि मुडिकुवा पर्वत,Gahate Ambot Avi,"Ambot, Phalewas Municipality, Parbat, Gandaki Province",Matched with school name of B
7322,11597,Gahate Pravi,गहते प्रावि ओखलढुगा,Gahate Basic,"Gahate, Chisankhugadhi Rural Municipality, Okhaldhunga, Koshi Province",Matched with old school name1 of B
27523,51429,Gahate Mavi,गहते मावि पाल्पा,Gahate Mavi,"Rainadevi Chhahara Gaunpalika, Rainadevi Chhahara Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
12704,31879,Gairi Gau.N Mavi,गैरी गाउँ मावि नीलकण्ठ धादिङ,Gairi Gaun Mavi,"Neelakantha, Neelakantha Municipality, Dhading, Bagamati Province",Matched with school name of B
23905,51433,Gaurigau.N Pravi,गौरीगाउँ प्रावि रोल्पा,Gairi Gaun Pravi,"Runtigadhi, Runtigadi Rural Municipality, Rolpa, Lumbini Province",Matched with school name of B
9741,11603,Gaimyaraja Avi,गैंयाराज आवि भोजपुर,Gaiyaraj Avi,"Hatuwagadhi, Hatuwagadhi Rural Municipality, Bhojpur, Koshi Province",Matched with school name of B
16910,31881,Gaiyashvari Avi,गैयाश्वरी आवि रामेछाप,Gaiyashwori Avi,"Sukajor, Ramechhap Municipality, Ramechhap, Bagamati Province",Matched with school name of B
13825,31882,Gajuri Pimda Mavi,गजुरी पिंडा मावि गजुरी धादिङ,Gajuri Pinda Mavi,"Gajuri, Gajuri Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
79,11605,Gajuramukhi Avi,गजुरमुखी आवि इलाम,Gajurmukhi Avi,"mangsebung, Mangsebung Rural Municipality, Ilam, Koshi Province",Matched with school name of B
23583,71185,Galinatha Avi,गलिनाथ आवि चौका बैतडी,Galinath Avi,"Babida, Purchaudi Municipality, Baitadi, Sudurpashchim Province",Matched with school name of B
654,41241,Galkota Mavi,गल्कोट मावि बाग्लुङ,Galkot Mavi,"Hatiya, Galkot Municipality, Baglung, Gandaki Province",Matched with school name of B
377,41237,Galkota Mavi,गल्कोट मावि स्याङजा,Galkot Mavi,"Galyang, Galyang Municipality, Syangja, Gandaki Province",Matched with school name of B
18346,71189,Gallakedara Mavi,गल्लाकेदार मावि दार्चुला,Galla Kedar Mavi,"Kharkada, Lekam Rural Municipality, Darchula, Sudurpashchim Province",Matched with school name of B
28126,6806,Galphagada Pravi,गल्फागाड प्रावि हुम्ला,Galphagad Pravi Galphagad,"Galphagad, Adanchuli Rural Municipality, Humla, Karnali Province",Matched with old school name1 of B
6442,41242,Galuva Dhadakharka Pravi,गलुवा ढाडखर्क प्रावि भकुण्डे बागलुङ,Galuwa Dhandakarka Pravi,"Bhakunde, Baglung Municipality, Baglung, Gandaki Province",Matched with school name of B
19095,11614,Gambhira Pokhari Avi,गम्भिर पोखरी आवि देउमाई न पा इलाम,Gambhir Pokhari Avi,"Fulbari, Deumai Municipality, Ilam, Koshi Province",Matched with school name of B
1710,31887,Gambhira Samudra Setu Mavi,गम्भीर समुद्र सेतु मावि इमाडोल ललितपुर,Gamvir Samudra Setu Mavi,"Imadol, Mahalaxmi Municipality, Lalitpur, Bagamati Province",Matched with school name of B
14923,51441,Ganasari Mavi,गणसारी मावि रुपन्देही,Ganasari Mavi,"Gansari, Siyari Rural Municipality, Rupandehi, Lumbini Province",Matched with school name of B
6705,41244,Ganatantra Pravi,गणतन्त्र प्रावि विहादी गा पा पर्वत,Ganatantra Pravi,"Kumalgaun, Bihadi Rural Municipality, Parbat, Gandaki Province",Matched with school name of B
16080,41246,Gandaki Adasha Pravi,गण्डकी आदश प्रावि गोर्खा,Gandaki Adarsha Pravi,"Hattikane, Barpak Sulikot Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
22147,41247,Gandaki Avi,गण्डकी आवि गोरखा,Gandaki Avi,"Bhimsen Thapa Rural Municipality ,Ward 4 , Baluwatar ,  Dhawa , Gorkha, Bhimsen Thapa Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
15696,41248,Gandaki Avi,गण्डकी आवि चापाकोट स्याङ्जा,Gandaki Avi,"Chapakot, Chapakot Municipality, Syangja, Gandaki Province",Matched with school name of B
17749,41249,Gandaki Avi,गण्डकी आवि चापाकोट स्याङजा,Gandaki Avi,"Chapakot - 6, Bhattarai, Chapakot Municipality, Syangja, Gandaki Province",Matched with school name of B
11525,41253,Gandaki Mavi,गण्डकी मावि पकवादी स्याङजा,Gandaki Mavi,"Galyang, Galyang Municipality, Syangja, Gandaki Province",Matched with school name of B
17469,41256,Gandaki Mavi,गण्डकी मावि वि थुमी गाेरखा,Gandaki Mavi,"Dharche-2, Runchet, Dharche Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
17072,41254,Gandaki Pravi,गण्डकी प्रावि धाव गोर्खा,Gandaki Pravi,"shahid lakhan, Shahid Lakhan Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
5605,31891,Gandhi Adarsha Mavi,गान्धी आदर्श मावि कागेश्वरी मनोहरा काठमाडौ,Gandhi Adarsha Mavi,"Kandaghari, Kageshwori Manahara Municipality, Kathmandu, Bagamati Province",Matched with school name of B
21947,41257,Ganesha Devi Pravi,गणेश देवी प्रावि लम्जुङ,Ganes Devi Pravi,"Gairigau, Marsyangdi Rural Municipality, Lamjung, Gandaki Province",Matched with school name of B
7516,31903,Ganesha Avi,गणेश आवि नमोबुद्ध काभ्रेपलाञ्चोक,Ganesh Avi,"Duti GaneshSthan, Chaurideurali Rural Municipality, Kavrepalanchok, Bagamati Province",Matched with school name of B
6966,31904,Ganesha Avi,गणेश आवि छम्पी ललितपुर,Ganesh Avi,"Godawari, Itahiti, Godawari Municipality, Lalitpur, Bagamati Province",Matched with school name of B
13122,31905,Ganesha Avi,गणेश आवि सूर्यविनायक न पा वालकोट भक्तपुर,Ganesh Avi,"Changunarayan 2, Duwakot, Changunarayan Municipality, Bhaktapur, Bagamati Province",Matched with school name of B
29686,31906,Ganesha Avi,गणेश आवि नुवाकोट,Ganesh Avi,"Aakle Bhanjyang, Belkotgadhi Municipality, Nuwakot, Bagamati Province",Matched with school name of B
27690,2945,Ganesha Avi,गणेश आवि भारी जलेश्वर महोत्तरी,Ganesh Avi,"Jaleshwar, Jaleshwar Municipality, Mahottari, Madhesh Province",Matched with school name of B
6766,51449,Ganesha Avi,गणेश आवि बर्दिया,Ganesh Avi,"Ganeshpur, Gulariya Municipality, Bardiya, Lumbini Province",Matched with school name of B
8003,51446,Ganesha Avi,गणेश आवि रोल्पा,Ganesh Avi,"Gotmare, Rolpa Municipality, Rolpa, Lumbini Province",Matched with school name of B
28484,11618,Ganesha Avi,गणेश आवि तेह्रथुम,Ganesh Avi,"Sakrantibazar, Aathrai Rural Municipality, Tehrathum, Koshi Province",Matched with school name of B
20644,11617,Ganesha Pravi,गणेश प्रावि हाङपाङ ताप्लेजुङ,Ganesh Avi,"Sawadin, Phaktanglung Rural Municipality, Taplejung, Koshi Province",Matched with old school name2 of B
10001,31907,Ganesha Pravi,गणेश प्रावि रसुवा,Ganesh Avi,"Siruchet, Uttargaya Rural Municipality, Rasuwa, Bagamati Province",Matched with old school name1 of B
25815,31908,Ganesha Avi,गणेश आवि चितवन,Ganesh Avi,"Ayodhyapuri, Madi Municipality, Chitwan, Bagamati Province",Matched with school name of B
5464,11621,Ganesha Avi,गणेश आवि ओखलढुङ्गा,Ganesh Avi,"Likhu, Likhu Rural Municipality, Okhaldhunga, Koshi Province",Matched with school name of B
5232,11620,Ganesha Avi,गणेश आवि संखुवासभा,Ganesh Avi,"Dabale, Madi Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
24201,11619,Ganesha Pravi,गणेश प्रावि सुङनाम तेह्रथुम,Ganesh Avi,"Laligurans, Laligurans Municipality, Tehrathum, Koshi Province",Matched with old school name1 of B
1830,11617,Ganesha Pravi,गणेश प्रावि सावादिन ताप्लेजुङ,Ganesh Avi,"Sawadin, Phaktanglung Rural Municipality, Taplejung, Koshi Province",Matched with old school name2 of B
13506,51445,Ganesha Avi,गणेश आवि तिलोत्तमा रुपन्देही,Ganesh Avi,"Tilottama -11, Tilottama Municipality, Rupandehi, Lumbini Province",Matched with school name of B
22740,31901,Ganesha Pravi,गणेश प्रावि नवलपुर सन्धुपाल्चोक,Ganesh Avi,"Latu, Tripurasundari Rural Municipality, Sindhupalchok, Bagamati Province",Matched with old school name1 of B
3209,41259,Ganesha Avi,गणेश आवि गल्याङ्ग न पा स्याङजा,Ganesh Avi,"Waling Municipality, Waling Municipality, Syangja, Gandaki Province",Matched with school name of B
19362,31898,Ganesha Avi,गणेश आवि चौतारा साँगाचोकगढी सिन्धुपाल्चोक,Ganesh Avi,"Baluwa, Barhabise Municipality, Sindhupalchok, Bagamati Province",Matched with school name of B
9240,31893,Ganesha Avi,गणेश आवि काठमाडौं,Ganesh Avi,"Bhanjyang, Dakshinkali Municipality, Kathmandu, Bagamati Province",Matched with school name of B
28090,31899,Ganesha Avi,गणेश आवि बरुवा सिमपानी सिन्धुपाल्चोक,Ganesh Avi,"Simpani, Panchpokhari Thangpal Rural Municipality, Sindhupalchok, Bagamati Province",Matched with school name of B
29364,31900,Ganesha Avi,गणेश आवि त्रिपुरासुन्दरी सिन्धुपाल्चोक,Ganesh Avi,"Gurung gaun, Panchpokhari Thangpal Rural Municipality, Sindhupalchok, Bagamati Province",Matched with school name of B
28353,31897,Ganesha Avi,गणेश आवि दोलखा,Ganesh Avi,"Daduwa, Tamakoshi Rural Municipality, Dolakha, Bagamati Province",Matched with school name of B
5671,6812,Ganesha Avi,गणेश आवि पलाँता गा पा कालीकोट,Ganesh Avi,"Khada, Palata Rural Municipality, Kalikot, Karnali Province",Matched with school name of B
4319,31894,Ganesha Avi,गणेश आवि काभ्रे,Ganesh Avi,"Khajuli Lekh, Khanikhola Rural Municipality, Kavrepalanchok, Bagamati Province",Matched with school name of B
2015,31892,Ganesha Avi,गणेश आवि चाँगुनारायण न पा भक्तपुर,Ganesh Avi,"Changunarayan Municipality, Changunarayan Municipality, Bhaktapur, Bagamati Province",Matched with school name of B
16801,6809,Ganesha Avi,गणेश आवि जुम्ला,Ganesh Avi,"Gidichaur, Tatopani Rural Municipality, Jumla, Karnali Province",Matched with school name of B
28063,71198,Ganesha Avi,गणेश आवि डाडा जामीर दार्चुला,Ganesh Avi,"Dadajamir, Naugad Rural Municipality, Darchula, Sudurpashchim Province",Matched with school name of B
13194,41260,Ganesha Avi,गणेश आवि जगत स्याङ्जा,Ganesh Avi,"Arjunchaupari, Arjunchaupari Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
1407,11623,Ganesha Avi,गणेश आवि अर्जुनधारा झापा,Ganesh Avi Arjundhara,"Sadhu Tar, Arjundhara Municipality, Jhapa, Koshi Province",Matched with old school name1 of B
11640,6816,Ganesha Pravi,गणेश प्रावि थापाचौर सल्यान,Ganesh Avi Kumakh Thapachaur Salyan,"Thapachaur, Kumakh Rural Municipality, Salyan, Karnali Province",Matched with old school name1 of B
