school_id	school_transliterated	school_1_transliterated	School_level_transliterated	School_name_transliterated	Location_transliterated	Potential_district_transliterated	Location_1_transliterated
3706	simhavahini adharabhuta vidyalaya mya~nalu~na, tehrathuma	simhavahini avi mya~nalu~na tehrathuma	avi	simhavahini	mya~nalu~na tehrathuma	tehrathuma	mya~nalu~na
3707	vuddha milana ma॰ vi, lamju~na	vuddha milana mavi lamju~na	mavi	vuddha milana	lamju~na	lamju~na	
3708	mahendradeva ni॰ma॰vi॰, lamju~na	mahendradeva nimavi lamju~na	nimavi	mahendradeva	lamju~na	lamju~na	
3709	bhitriya prathamika vidhalaya chatedhumga tehthuma	bhitriya pravi chatedhumga tehthuma	pravi	bhitriya	chatedhumga tehthuma	tehthuma	chatedhumga
3710	shambhunatha madhyamika vidhalaya ekamba, sunasari	shambhunatha mavi ekamba sunasari	mavi	shambhunatha	ekamba sunasari	sunasari	ekamba
3711	arukharka adharabhuta vidyalaya phedikhola, sya~nja	arukharka avi phedikhola sya~nja	avi	arukharka	phedikhola sya~nja	sya~nja	phedikhola
3712	rashtriya madhyamika vidyalaya, pelakota, sya~naja	rashtriya mavi pelakota sya~naja	mavi	rashtriya	pelakota sya~naja	sya~naja	pelakota
3713	yuvavarsha pra॰vi, sya~naja	yuvavarsha pravi sya~naja	pravi	yuvavarsha	sya~naja	sya~naja	
3714	bindhavasini u॰ madhyamika vidhalaya	vindhavasini mavi	mavi	vindhavasini			
3715	mahendri gamga prathamika vidyalaya, lamaju~na	mahendri gamga pravi lamaju~na	pravi	mahendri gamga	lamaju~na	lamaju~na	
3716	siddha madhyamika vidhalaya phalepatana, kaski	siddha mavi phalepatana kaski	mavi	siddha	phalepatana kaski	kaski	phalepatana
3717	jana jagrriti madhyamika vidyalaya, chandrapura, rautahata	jana jagrriti mavi chandrapura rautahata	mavi	jana jagrriti	chandrapura rautahata	rautahata	chandrapura
3718	prabhata prathamika vidhalaya, tehrathuma	prabhata pravi tehrathuma	pravi	prabhata	tehrathuma	tehrathuma	
3719	janajyoti pra॰ vi॰, parbata	janajyoti pravi parbata	pravi	janajyoti	parbata	parbata	
3720	bhavishya nirmana madhyamika vidyalaya, sya~nja	bhavishya nirmana mavi sya~nja	mavi	bhavishya nirmana	sya~nja	sya~nja	
3721	araniko ni॰ma॰vi॰, sya~naja	araniko nimavi sya~naja	nimavi	araniko	sya~naja	sya~naja	
3722	rajasthala madhyamika vidyalaya putalivajara, sya~naja	rajasthala mavi putalivajara sya~naja	mavi	rajasthala	putalivajara sya~naja	sya~naja	putalivajara
3723	janajyoti madhyamika vidyalaya simle, tehrathuma	janajyoti mavi simle tehrathuma	mavi	janajyoti	simle tehrathuma	tehrathuma	simle
3724	moti madhyamika vidyalaya, jhapa	moti mavi jhapa	mavi	moti	jhapa	jhapa	
3725	sharada madhyamika vidyalaya urlavari, mora~na	sharada mavi urlavari mora~na	mavi	sharada	urlavari mora~na	mora~na	urlavari
3726	mahabharata pra॰vi dharapa, idhanakuta	mahabharata pravi dharapa idhanakuta	pravi	mahabharata	dharapa idhanakuta	idhanakuta	dharapa
3727	bhagavati pra॰vi bhedetara, dhanakuta	bhagavati pravi bhedetara dhanakuta	pravi	bhagavati	bhedetara dhanakuta	dhanakuta	bhedetara
3728	bhagavati॰ pra॰vi, , dhanakuta	bhagavati pravi dhanakuta	pravi	bhagavati	dhanakuta	dhanakuta	
3729	sarasvati nimna madhyamika vidhalaya, pathari shanishchare mora~na	sarasvati nimavi pathari shanishchare mora~na	nimavi	sarasvati	pathari shanishchare mora~na	mora~na	pathari shanishchare
3730	buddha madhyamika vidyalaya, mora~na	buddha mavi mora~na	mavi	buddha	mora~na	mora~na	
3731	sarasvati prathamika vidyalaya, ba~ngesimala, surkheta	sarasvati pravi ba~ngesimala surkheta	pravi	sarasvati	ba~ngesimala surkheta	surkheta	ba~ngesimala
3732	sidva madhyamika vidhalaya, bagi, arghakha.nchi	sidva mavi bagi arghakha.nchi	mavi	sidva	bagi arghakha.nchi	arghakha.nchi	bagi
3733	jabdi ni॰ma॰vi॰, sunasari	jabdi nimavi sunasari	nimavi	jabdi	sunasari	sunasari	
3734	jalakanya pra॰vi, kerabari tehrathuma	jalakanya pravi kerabari tehrathuma	pravi	jalakanya	kerabari tehrathuma	tehrathuma	kerabari
3735	bhanu adharabhuta vidyalaya bhadaure, tehrathuma	bhanu avi bhadaure tehrathuma	avi	bhanu	bhadaure tehrathuma	tehrathuma	bhadaure
3736	j~nanodaya adharabhuta vidyalaya, sirijamgha ga॰pa॰, tapleju~na	j~nanodaya avi sirijamgha ga pa tapleju~na	avi	j~nanodaya	sirijamgha ga pa tapleju~na	tapleju~na	sirijamgha ga pa
3737	sarasvati madhyamika vidyalaya, sirijamgha ga॰pa॰, tapleju~na	sarasvati mavi sirijamgha ga pa tapleju~na	mavi	sarasvati	sirijamgha ga pa tapleju~na	tapleju~na	sirijamgha ga pa
3738	buddha madhyamika vidyalaya shanishchare, mora~na	buddha mavi shanishchare mora~na	mavi	buddha	shanishchare mora~na	mora~na	shanishchare
3739	shiva adharabhuta vidyalaya, narapani, arghakha.nchi	shiva avi narapani arghakha.nchi	avi	shiva	narapani arghakha.nchi	arghakha.nchi	narapani
3740	balasimha u॰ madhyamika vidyalaya sya~nja	balasimha mavi sya~nja	mavi	balasimha	sya~nja	sya~nja	
3741	kala bhairava ni॰ ma॰ vi॰, sya~naja	kala bhairava nimavi sya~naja	nimavi	kala bhairava	sya~naja	sya~naja	
3742	kalabhairava madhyamika vidyalaya, phedikhola, sya~naja	kalabhairava mavi phedikhola sya~naja	mavi	kalabhairava	phedikhola sya~naja	sya~naja	phedikhola
3743	nimna madhyamika vidyalaya, kabhre -7, da~na	nimavi kabhre da~na	nimavi	nimavi	kabhre da~na	da~na	kabhre
3744	jalakanya prathamika vidyalaya, simhadevi, mora~na	jalakanya pravi simhadevi mora~na	pravi	jalakanya	simhadevi mora~na	mora~na	simhadevi
3745	jagrata ni॰ma vi, nuvakota	jagrata nimavi nuvakota	nimavi	jagrata	nuvakota	nuvakota	
3746	bachala madhyamika vidyalaya shikharaveshi, nuvakota	bachala mavi shikharaveshi nuvakota	mavi	bachala	shikharaveshi nuvakota	nuvakota	shikharaveshi
3747	rashtiya adharabhuta vidyalaya, barju, sunasari	rashtiya avi barju sunasari	avi	rashtiya	barju sunasari	sunasari	barju
3748	sarasvati pra bi, dailekha	sarasvati pravi dailekha	pravi	sarasvati	dailekha	dailekha	
3749	nepala rashtriya prathamika vidyalaya du~ngeshvara, dailekha	nepala rashtriya pravi du~ngeshvara dailekha	pravi	nepala rashtriya	du~ngeshvara dailekha	dailekha	du~ngeshvara
3750	himalaya nimna madhyamika vidhalaya, sakhuva kachandaha saptari	himalaya nimavi sakhuva kachandaha saptari	nimavi	himalaya	sakhuva kachandaha saptari	saptari	sakhuva kachandaha
3751	ni॰ma॰vi dada.ngau.n, da~na	nimavi dada.ngau.n da~na	nimavi	nimavi	dada.ngau.n da~na	da~na	dada.ngau.n
3752	tallokumeradu~n adharabhuta vidyalaya vali~na, sya~naja	tallokumeradu~n avi vali~na sya~naja	avi	tallokumeradu~n	vali~na sya~naja	sya~naja	vali~na
3753	chakreshvara pra॰vi, nuvakota	chakreshvara pravi nuvakota	pravi	chakreshvara	nuvakota	nuvakota	
3754	sharada adharabhuta vidyalaya tehthuma	sharada avi tehthuma	avi	sharada	tehthuma	tehthuma	
3755	sharada ramaniya damda prathamika vidhalaya, sya~naja	sharada ramaniya damda pravi sya~naja	pravi	sharada ramaniya damda	sya~naja	sya~naja	
3756	janapriya madhyamika vidyalaya, bhatakhola, sya~nja	janapriya mavi bhatakhola sya~nja	mavi	janapriya	bhatakhola sya~nja	sya~nja	bhatakhola
3757	navina madhyamika vidyalaya gaihrapatana, kaski	navina mavi gaihrapatana kaski	mavi	navina	gaihrapatana kaski	kaski	gaihrapatana
3758	janaseva adharabhuta vidyalaya, jili~na, pa.nchakhale, nuvakota	janaseva avi jili~na pa.nchakhale nuvakota	avi	janaseva	jili~na pa.nchakhale nuvakota	nuvakota	jili~na pa.nchakhale
3759	rama janaki pra॰vi, nuvakota	rama janaki pravi nuvakota	pravi	rama janaki	nuvakota	nuvakota	
3760	deurali pra॰vi, nuvakota	deurali pravi nuvakota	pravi	deurali	nuvakota	nuvakota	
3761	tinadhare pipalada.nda madhyamika vidyalaya, nuvakaeta	tinadhare pipalada.nda mavi nuvakaeta	mavi	tinadhare pipalada.nda	nuvakaeta	nuvakaeta	
3762	jaladevi pra॰ vi, sya~naja	jaladevi pravi sya~naja	pravi	jaladevi	sya~naja	sya~naja	
3763	jalpa devi pra॰ vi॰, sya~naja	jalpa devi pravi sya~naja	pravi	jalpa devi	sya~naja	sya~naja	
3764	bhagvati pra॰ vi॰, mora	bhagvati pravi mora	pravi	bhagvati	mora	mora	
3765	manohara janata madhyamika vidyalaya, mora~na	manohara janata mavi mora~na	mavi	manohara janata	mora~na	mora~na	
3766	janakalyana ma॰ vi॰, mora	janakalyana mavi mora	mavi	janakalyana	mora	mora	
3767	janakalyana madhyamika vidyalaya, mora~na	janakalyana mavi mora~na	mavi	janakalyana	mora~na	mora~na	
3768	mahadeva adharabhuta vidyalaya, pa.nchathara	mahadeva avi pa.nchathara	avi	mahadeva	pa.nchathara	pa.nchathara	
3769	mahadeva gupteshvara madhyamika vidyalaya phidima, pa.nchathara	mahadeva gupteshvara mavi phidima pa.nchathara	mavi	mahadeva gupteshvara	phidima pa.nchathara	pa.nchathara	phidima
3770	chandreshvara madhyamika vidyalaya, pa.nchathara	chandreshvara mavi pa.nchathara	mavi	chandreshvara	pa.nchathara	pa.nchathara	
3771	jagadisha madhyamika vidyalaya, dailekha	jagadisha mavi dailekha	mavi	jagadisha	dailekha	dailekha	
3772	basanta rritu pra bi, saptari	basanta rritu pravi saptari	pravi	basanta rritu	saptari	saptari	
3773	bala mandira pra॰vi॰, sarlahi	bala mandira pravi sarlahi	pravi	bala mandira	sarlahi	sarlahi	
3774	siddhatha prathamika vidhalaya, lamagau.n lamaju~na	siddhatha pravi lamagau.n lamaju~na	pravi	siddhatha	lamagau.n lamaju~na	lamaju~na	lamagau.n
3775	buddhamilana madhyamika vidyalaya pyaraju~na, lamaju~na	buddhamilana mavi pyaraju~na lamaju~na	mavi	buddhamilana	pyaraju~na lamaju~na	lamaju~na	pyaraju~na
3776	siddhakali prathamika vidhalaya, bhojapura	siddhakali pravi bhojapura	pravi	siddhakali	bhojapura	bhojapura	
3777	valavahubhashiya pra॰vi॰, sunasari	valavahubhashiya pravi sunasari	pravi	valavahubhashiya	sunasari	sunasari	
3778	j~nana jyoti prathamika vidyalaya, da~na	j~nana jyoti pravi da~na	pravi	j~nana jyoti	da~na	da~na	
3779	pra॰vi simalatara, da~na	pravi simalatara da~na	pravi	pravi	simalatara da~na	da~na	simalatara
3780	prathamika vidhalaya sukaura, da~na	pravi sukaura da~na	pravi	pravi	sukaura da~na	da~na	sukaura
3781	dhanubasa barahi vi, kaski	dhanubasa barahi vi kaski		dhanubasa barahi vi kaski			
3782	gaurigamu prahvih, da~na	gaurigamu pravi da~na	pravi	gaurigamu	da~na	da~na	
3783	arvuna adharabhuta vidyalaya, balkota, arghakha.nchi	arvuna avi balkota arghakha.nchi	avi	arvuna	balkota arghakha.nchi	arghakha.nchi	balkota
3784	lakshmi narayana madhyamika vidyalaya dharamapura jhapa	lakshmi narayana mavi dharamapura jhapa	mavi	lakshmi narayana	dharamapura jhapa	jhapa	dharamapura
3785	vachchala madhyamika vidhalaya, nuvakota	vachchala mavi nuvakota	mavi	vachchala	nuvakota	nuvakota	
3786	bachchala madhyamika vidyalaya, bhadrutara, nuvakota	bachchala mavi bhadrutara nuvakota	mavi	bachchala	bhadrutara nuvakota	nuvakota	bhadrutara
3787	bhairaba ni ma bi, dailekha	bhairaba nimavi dailekha	nimavi	bhairaba	dailekha	dailekha	
3788	sarasvati madhyamika vidyalaya, khadkavada, dailekha	sarasvati mavi khadkavada dailekha	mavi	sarasvati	khadkavada dailekha	dailekha	khadkavada
3789	virenda madhyamika vidyalaya, hekuli, da~na	virenda mavi hekuli da~na	mavi	virenda	hekuli da~na	da~na	hekuli
3790	pipaladali, kaski	pipaladali kaski		pipaladali kaski			
3791	bhimashena pra॰vi, rolpa	bhimashena pravi rolpa	pravi	bhimashena	rolpa	rolpa	
3792	hemanta adharabhuta vidyalaya, rolpa	hemanta avi rolpa	avi	hemanta	rolpa	rolpa	
3793	bhimasena ni ma vi, rolpa	bhimasena nimavi rolpa	nimavi	bhimasena	rolpa	rolpa	
3794	vi॰pi॰ pra॰vi॰ basantapura, da~na	vi pi pravi basantapura da~na	pravi	vi pi	basantapura da~na	da~na	basantapura
3795	bhumeshyana pra vi, nuvakota	bhumeshyana pravi nuvakota	pravi	bhumeshyana	nuvakota	nuvakota	
3796	kantira jha namuna madhyamika vidyalaya, babhanagama, dhanusha	kantira jha namuna mavi babhanagama dhanusha	mavi	kantira jha namuna	babhanagama dhanusha	dhanusha	babhanagama
3797	janaseva madhyamika vidyalaya, kanepokhari, mora~na	janaseva mavi kanepokhari mora~na	mavi	janaseva	kanepokhari mora~na	mora~na	kanepokhari
3798	shukreshvari prathamika vidyalaya tulasipura, da~na	shukreshvari pravi tulasipura da~na	pravi	shukreshvari	tulasipura da~na	da~na	tulasipura
3799	bhulabari pra vi	bhulabari pravi	pravi	bhulabari			
3800	ratnaprakasa pra॰ vi॰, lamju~na	ratnaprakasa pravi lamju~na	pravi	ratnaprakasa	lamju~na	lamju~na	
3801	vuddhivikasa pra॰ vi॰, lamju~na	vuddhivikasa pravi lamju~na	pravi	vuddhivikasa	lamju~na	lamju~na	
3802	janavikasa adharabhuta vidyalaya bhi॰na॰pa॰, sya~nja	janavikasa avi bhi na pa sya~nja	avi	janavikasa	bhi na pa sya~nja	sya~nja	bhi na pa
3803	vatuka bhairava prathamika vidhalaya, banathoka	vatuka bhairava pravi banathoka	pravi	vatuka bhairava	banathoka	banathoka	
3804	chandrajyoti adharabhuta vidyalaya, galya~n, sya~nja	chandrajyoti avi galya~n sya~nja	avi	chandrajyoti	galya~n sya~nja	sya~nja	galya~n
3805	shahida shukra madhyamika vidyalaya, sya~nja	shahida shukra mavi sya~nja	mavi	shahida shukra	sya~nja	sya~nja	
3806	trishahida u॰ madhyamika vidhalaya pamchamula-2, sya~naja	trishahida mavi pamchamula sya~naja	mavi	trishahida	pamchamula sya~naja	sya~naja	pamchamula
3807	hima jyoti adharabhuta vidyalaya, thomche, tilche, mana~na	hima jyoti avi thomche tilche mana~na	avi	hima jyoti	thomche tilche mana~na	mana~na	thomche tilche
3808	sarasvati adharabhuta vidyalaya, nuvakota	sarasvati avi nuvakota	avi	sarasvati	nuvakota	nuvakota	
3809	shamkara madhyamika vidyalaya, rupanagara, saptari	shamkara mavi rupanagara saptari	mavi	shamkara	rupanagara saptari	saptari	rupanagara
3810	pra॰vi bhaluva, da~na	pravi bhaluva da~na	pravi	pravi	bhaluva da~na	da~na	bhaluva
3811	bhagavati adharabhuta vidyalaya, phedapa, samdu, tehrathuma	bhagavati avi phedapa samdu tehrathuma	avi	bhagavati	phedapa samdu tehrathuma	tehrathuma	phedapa samdu
3812	himalaya ni॰ma॰vi, mana~na	himalaya nimavi mana~na	nimavi	himalaya	mana~na	mana~na	
3813	simhabahini u॰ madhyamika vidhalaya, mya~nalu~na tehthuma	simhabahini mavi mya~nalu~na tehthuma	mavi	simhabahini	mya~nalu~na tehthuma	tehthuma	mya~nalu~na
3814	sarvodaya prathamika vidyalaya, maidana, arghakha.nchi	sarvodaya pravi maidana arghakha.nchi	pravi	sarvodaya	maidana arghakha.nchi	arghakha.nchi	maidana
3815	sarasvati bhavana ra॰ madhyamika vidyalaya, khidima, arghakha.nchi	sarasvati bhavana ra mavi khidima arghakha.nchi	mavi	sarasvati bhavana ra	khidima arghakha.nchi	arghakha.nchi	khidima
3816	rapti madhyamika vidyalaya uchanimbu, da~na	rapti mavi uchanimbu da~na	mavi	rapti	uchanimbu da~na	da~na	uchanimbu
3817	pramani midila pra vi, jhapa	pramani midila pravi jhapa	pravi	pramani midila	jhapa	jhapa	
3818	kalika adharabhuta vidyalaya, tehrathuma	kalika avi tehrathuma	avi	kalika	tehrathuma	tehrathuma	
3819	janata adharabhuta vidyalaya mya~nalu~na na॰pa॰, piple, tehrathuma	janata avi mya~nalu~na na pa piple tehrathuma	avi	janata	mya~nalu~na na pa piple tehrathuma	tehrathuma	mya~nalu~na na pa piple
3820	janajagrriti madhyamika vidyalaya ghorahi, da~na	janajagrriti mavi ghorahi da~na	mavi	janajagrriti	ghorahi da~na	da~na	ghorahi
3821	shri ne॰ra॰shambhusharana madhyamika vidyalaya, bardiya	shri ne ra shambhusharana mavi bardiya	mavi	shri ne ra shambhusharana	bardiya	bardiya	
3822	pam~nchajyoti pra॰vi, achama	pam~nchajyoti pravi achama	pravi	pam~nchajyoti	achama	achama	
3823	kalika ma॰vi, achama	kalika mavi vi achama	mavi	kalika	vi achama	achama	vi
3824	chandra madhyamika vidhalaya, chidika, arghakha.nchi	chandra mavi chidika arghakha.nchi	mavi	chandra	chidika arghakha.nchi	arghakha.nchi	chidika
3825	hile ni ma vi, dhanakuta	hile nimavi dhanakuta	nimavi	hile	dhanakuta	dhanakuta	
3826	simhadevi prathamika vidyalaya kalimati solma, tehrathuma	simhadevi pravi kalimati solma tehrathuma	pravi	simhadevi	kalimati solma tehrathuma	tehrathuma	kalimati solma
3827	balajyoti prathamika vidhalaya madhumalla mora~na	balajyoti pravi madhumalla mora~na	pravi	balajyoti	madhumalla mora~na	mora~na	madhumalla
3828	sayapatri adharabhuta vidyalaya, pa.nchathara	sayapatri avi pa.nchathara	avi	sayapatri	pa.nchathara	pa.nchathara	
3829	devatapani pra॰ vi॰, lamju~na	devatapani pravi lamju~na	pravi	devatapani	lamju~na	lamju~na	
3830	valavikasa pra॰ vi॰, lamju~na	valavikasa pravi lamju~na	pravi	valavikasa	lamju~na	lamju~na	
3831	bhakta vidhashrama madhyamika vidyalaya, raktakali kathamadaum	bhakta vidhashrama mavi raktakali kathamadaum	mavi	bhakta vidhashrama	raktakali kathamadaum	kathamadaum	raktakali
3832	adarsha ratri madhyamika vidyalaya, govaradiha, deukhuri, da~na	adarsha ratri mavi govaradiha deukhuri da~na	mavi	adarsha ratri	govaradiha deukhuri da~na	da~na	govaradiha deukhuri
3833	ni॰ma॰vi maurighara, da~na	nimavi maurighara da~na	nimavi	nimavi	maurighara da~na	da~na	maurighara
3834	maharudra madhyamika vidyalaya, kaski	maharudra mavi kaski	mavi	maharudra	kaski	kaski	
3835	setidevi ni ma vi, kabhrepalanchoka	setidevi nimavi kabhrepalanchoka	nimavi	setidevi	kabhrepalanchoka	kabhrepalanchoka	
3836	shri simdura pra॰ vi॰, palpa	shri simdura pravi palpa	pravi	shri simdura	palpa	palpa	
3837	bachchala madhyamika vidyalaya likhu, nuvakota	bachchala mavi likhu nuvakota	mavi	bachchala	likhu nuvakota	nuvakota	likhu
3838	vanakatta prahvih, da~na	vanakatta pravi da~na	pravi	vanakatta	da~na	da~na	
3839	kisana prathamika vidyalaya tulasipura, da~na	kisana pravi tulasipura da~na	pravi	kisana	tulasipura da~na	da~na	tulasipura
3840	pashupati adharabhuta vidyalaya, modi ga॰pa॰, deupura, parvata	pashupati avi modi ga pa deupura parvata	avi	pashupati	modi ga pa deupura parvata	parvata	modi ga pa deupura
3841	shaligarama ma॰ vi, parbata	shaligarama mavi parbata	mavi	shaligarama	parbata	parbata	
3842	tinajure ni॰ ma॰ bi॰, tehrathuma	tinajure nimavi tehrathuma	nimavi	tinajure	tehrathuma	tehrathuma	
3843	nrrisimha prathamika vidyalaya, khamlalu~na, tehrathuma	nrrisimha pravi khamlalu~na tehrathuma	pravi	nrrisimha	khamlalu~na tehrathuma	tehrathuma	khamlalu~na
3844	sanahumgi madhyamika vidhalaya, phoksi~nkota palpa	sanahumgi mavi phoksi~nkota palpa	mavi	sanahumgi	phoksi~nkota palpa	palpa	phoksi~nkota
3845	mahabhara adharabhuta vidyalaya miklaju~na, pa.nchathara	mahabhara avi miklaju~na pa.nchathara	avi	mahabhara	miklaju~na pa.nchathara	pa.nchathara	miklaju~na
3846	mula bari pra॰vi, nuvakota	mula bari pravi nuvakota	pravi	mula bari	nuvakota	nuvakota	
3847	kanta chandra madhyamika vidyalaya pato, saptari	kanta chandra mavi pato saptari	mavi	kanta chandra	pato saptari	saptari	pato
3848	bhagima prathamika vidhalaya, su~nnama-5 da.ndagau.n tehthuma	bhagima pravi su~nnama da.ndagau.n tehthuma	pravi	bhagima	su~nnama da.ndagau.n tehthuma	tehthuma	su~nnama da.ndagau.n
3849	phidima madhyamika vidyalaya, phidima pachathara	phidima mavi phidima pachathara	mavi	phidima	phidima pachathara	pachathara	phidima
3850	amrrita adharabhuta vidyalaya, pa.nchathara	amrrita avi pa.nchathara	avi	amrrita	pa.nchathara	pa.nchathara	
3851	jana jyoti madhyamika vidyalaya, lamaju~na	jana jyoti mavi lamaju~na	mavi	jana jyoti	lamaju~na	lamaju~na	
3852	pa sa ma vi	pa sa mavi	mavi	pa sa			
3853	shiksha sadana pra li, lamju~na	shiksha sadana pra li lamju~na		shiksha sadana pra li lamju~na			
3854	ratna praa vi, kaski	ratna pravi kaski	pravi	ratna	kaski	kaski	
3855	chandra prabha madhyamika vidyalaya rupakota, kaski	chandra prabha mavi rupakota kaski	mavi	chandra prabha	rupakota kaski	kaski	rupakota
3856	kshitija praa vi, kaski	kshitija pravi kaski	pravi	kshitija	kaski	kaski	
3857	kalidevi pra vi, kabhrepalanchoka	kalidevi pravi kabhrepalanchoka	pravi	kalidevi	kabhrepalanchoka	kabhrepalanchoka	
3858	shaulaputri u॰ ma॰ vi, lamju~na	shaulaputri mavi lamju~na	mavi	shaulaputri	lamju~na	lamju~na	
3859	devi sadana prathamika vidyalaya, lamaju~na	devi sadana pravi lamaju~na	pravi	devi sadana	lamaju~na	lamaju~na	
3860	shiksha sadana pra॰ vi॰, lamju~na	shiksha sadana pravi lamju~na	pravi	shiksha sadana	lamju~na	lamju~na	
3861	jamanasimha smrriti adharabhuta vidyalaya, bharatapura, chitavana	jamanasimha smrriti avi bharatapura chitavana	avi	jamanasimha smrriti	bharatapura chitavana	chitavana	bharatapura
3862	simhakalika pra bi, pachathara	simhakalika pravi pachathara	pravi	simhakalika	pachathara	pachathara	
3863	sarasvati praa vi, kaski	sarasvati pravi kaski	pravi	sarasvati	kaski	kaski	
3864	vishnu madhyamika vidyalaya sonapura, sunasari	vishnu mavi sonapura sunasari	mavi	vishnu	sonapura sunasari	sunasari	sonapura
3865	janajagrriti pra vi, ashapureshvara, kabhrepalanchoka	janajagrriti pravi ashapureshvara kabhrepalanchoka	pravi	janajagrriti	ashapureshvara kabhrepalanchoka	kabhrepalanchoka	ashapureshvara
3866	madhyamika vidyalaya, jhi~nni, bamjari, da~na	mavi jhi~nni bamjari da~na	mavi	mavi	jhi~nni bamjari da~na	da~na	jhi~nni bamjari
3867	ramapyari pra॰vi॰ da~nasi~na, kaski	ramapyari pravi da~nasi~na kaski	pravi	ramapyari	da~nasi~na kaski	kaski	da~nasi~na
3868	mahendra madhyamika vidyalaya, sindhupalchoka	mahendra mavi sindhupalchoka	mavi	mahendra	sindhupalchoka	sindhupalchoka	
3869	nepane pra॰vi, nuvakota	nepane pravi nuvakota	pravi	nepane	nuvakota	nuvakota	
3870	narasimha prathamika vidhalaya balakumari nuvakota	narasimha pravi balakumari nuvakota	pravi	narasimha	balakumari nuvakota	nuvakota	balakumari
3871	chyanada.nda adharabhuta vidyalaya, dupcheshvara, nuvakota	chyanada.nda avi dupcheshvara nuvakota	avi	chyanada.nda	dupcheshvara nuvakota	nuvakota	dupcheshvara
3872	prabhuda.nda adharabhuta vidyalaya nuvakota	prabhuda.nda avi nuvakota	avi	prabhuda.nda	nuvakota	nuvakota	
3873	pashupati pra॰vi, nuvakota	pashupati pravi nuvakota	pravi	pashupati	nuvakota	nuvakota	
3874	udaya jalapadevi madhyamika vidhalaya, nuvakota	udaya jalapadevi mavi nuvakota	mavi	udaya jalapadevi	nuvakota	nuvakota	
3875	lashmi ma॰vi, mora	lashmi mavi mora	mavi	lashmi	mora	mora	
3876	raghupati nimna madhyamika vidhalaya viratanagara, mora~na	raghupati nimavi viratanagara mora~na	nimavi	raghupati	viratanagara mora~na	mora~na	viratanagara
3877	bhanu pra॰vi॰, sunasari	bhanu pravi sunasari	pravi	bhanu	sunasari	sunasari	
3878	milijuli nimna madhyamika vidyalaya, bharaula -5, sunasari	milijuli nimavi bharaula sunasari	nimavi	milijuli	bharaula sunasari	sunasari	bharaula
3879	bhanusmrriti madhyamika vidhalaya dharana, sunasari	bhanusmrriti mavi dharana sunasari	mavi	bhanusmrriti	dharana sunasari	sunasari	dharana
3880	pa~nchayata rajata jayanti adharabhuta vidyalaya, itahari jabdi, sunasari	pa~nchayata rajata jayanti avi itahari jabdi sunasari	avi	pa~nchayata rajata jayanti	itahari jabdi sunasari	sunasari	itahari jabdi
3881	lilabhakta adharabhuta vidyalaya, tamkisinuvari, mora~na	lilabhakta avi tamkisinuvari mora~na	avi	lilabhakta	tamkisinuvari mora~na	mora~na	tamkisinuvari
3882	kali madhyamika vidyalaya, da.ngihata, mora~na	kali mavi da.ngihata mora~na	mavi	kali	da.ngihata mora~na	mora~na	da.ngihata
3883	mahadeva nimna madhyamika vidyalaya, jili~na -6, nuvakota	mahadeva nimavi jili~na nuvakota	nimavi	mahadeva	jili~na nuvakota	nuvakota	jili~na
3884	ganeshasurya adharabhuta vidyalaya, nuvakota	ganeshasurya avi nuvakota	avi	ganeshasurya	nuvakota	nuvakota	
3885	simhadevi adharabhuta vidyalaya, tehrathuma	simhadevi avi tehrathuma	avi	simhadevi	tehrathuma	tehrathuma	
3886	sarasvati nimna madhyamika vidhalaya, phulavari tapleju~na	sarasvati nimavi phulavari tapleju~na	nimavi	sarasvati	phulavari tapleju~na	tapleju~na	phulavari
3887	balajyoti adharabhuta vidyalaya, mora~na	balajyoti avi mora~na	avi	balajyoti	mora~na	mora~na	
3888	siddhadevi nimna madhyamika vidhalaya, ya~nanama pa.nchathara	siddhadevi nimavi ya~nanama pa.nchathara	nimavi	siddhadevi	ya~nanama pa.nchathara	pa.nchathara	ya~nanama
3889	nava jagrriti prathamika vidyalaya khaulala.nkuri, parvata	nava jagrriti pravi khaulala.nkuri parvata	pravi	nava jagrriti	khaulala.nkuri parvata	parvata	khaulala.nkuri
3890	vishnu paduka madhyamika vidyalaya, kaski	vishnu paduka mavi kaski	mavi	vishnu paduka	kaski	kaski	
3891	chandodevi pra vi, nuvakota	chandodevi pravi nuvakota	pravi	chandodevi	nuvakota	nuvakota	
3892	gramina janata nimna madhyamika vidyalaya, sa.ngurigadhi, dhanakuta	gramina janata nimavi sa.ngurigadhi dhanakuta	nimavi	gramina janata	sa.ngurigadhi dhanakuta	dhanakuta	sa.ngurigadhi
3893	pa~nchajyoti nimna madhyamika vidhalaya vayaravana-8, mora~na	pa~nchajyoti nimavi vayaravana mora~na	nimavi	pa~nchajyoti	vayaravana mora~na	mora~na	vayaravana
3894	sunakhari madhyamika vidyalaya, mora~na	sunakhari mavi mora~na	mavi	sunakhari	mora~na	mora~na	
3895	simhadevi pra॰vi, tehrathuma	simhadevi pravi tehrathuma	pravi	simhadevi	tehrathuma	tehrathuma	
3896	nisana adharabhuta vidyalaya, okhre tehrathuma	nisana avi okhre tehrathuma	avi	nisana	okhre tehrathuma	tehrathuma	okhre
3897	sunajhoda madhyamika vidyalaya, mora~na	sunajhoda mavi mora~na	mavi	sunajhoda	mora~na	mora~na	
